#,TTSPL,Serial,Customer,Rental Date,Rental DC,Return DC,Sale Date,Sale DC,Sale Price
21,TTSPL6323,8XN02J3,Synergie Network Engineering India Pvt Ltd,2026-02-06,DC-000318,"RDC001041, RDC001998",2026-08-17,DC/26-27/1115,35000.00
22,TTSPL6817,8G87ZD3,Synergie Network Engineering India Pvt Ltd,2026-02-06,DC-002079,"RDC001034, RDC002000",2026-08-17,DC/26-27/1115,35000.00
23,TTSPL1073,27J8NC2,B M TECHNOLOGIES,2026-02-06,DC-001633,RDC001550,2026-08-04,DC/26-27/1050,13559.00
24,TTSPL3409,5CG90949LN,Tagbin Services Pvt Ltd,2026-02-06,DC-000037,RDC001752,2026-08-03,DC/26-27/0957,26000.00
25,TTSPL1607,GLS8CG2,B M TECHNOLOGIES,2026-02-06,DC-001622,RDC001645,2026-07-30,DC/26-27/0951,10593.00
26,TTSPL3026,DS0YQF2,B M TECHNOLOGIES,2026-02-06,DC-001595,RDC001579,2026-07-30,DC/26-27/0951,10593.00
27,TTSPL3563,PC1M8P3F,RIZWAN KHAN,2026-04-22,DC-003704,RDC001762,2026-07-30,DC/26-27/0962,19491.00
28,TTSPL1978,6TTQ7S2,B M TECHNOLOGIES,2026-02-06,DC-001575,RDC001666,2026-07-29,DC/26-27/0928,12711.00
29,TTSPL1458,5CG6296WJ8,B M TECHNOLOGIES,2026-03-06,DC-003234,RDC001568,2026-07-29,DC/26-27/0907,12711.00
30,TTSPL2057,6XVCLQ2,B M TECHNOLOGIES,2026-02-06,DC-000486,RDC001565,2026-07-29,DC/26-27/0907,12711.00
31,TTSPL3891,B7PLM72,B M TECHNOLOGIES,2026-02-19,DC-002917,RDC001541,2026-07-29,DC/26-27/0906,10593.00
32,TTSPLGR0138,5CG8304Y1Q,B M TECHNOLOGIES,2026-02-06,DC-000784,RDC001567,2026-07-29,DC/26-27/0906,10593.00
