customer_name_sheet,crm_customer_id,crm_customer_name,crm_total_active_assets,sheet_active_assets_with_rent,total_rent_amount_sheet,customer_match_method,total_per_month_rate_sheet,matched_assets,unmatched_sheet_assets,crm_active_not_on_sheet,rate_match_count,rate_mismatch_count,asset_count_aligned,count_diff_sheet_minus_crm
Nexthire LLP,52,Nexthire LLP,6,5,4995,name,4995,5,0,1,5,0,NO,-1
Stefen Electric Pvt Ltd,84,STEFEN ELECTRIC PRIVATE LIMIED,5,5,4995,name,4995,5,0,0,5,0,YES,0
LEARNINGPAD EDUCATION SOLUTIONS PRIVATE LIMITED,913,LEARNINGPAD EDUCATION SOLUTIONS PRIVATE LIMITED,2,2,4798,name,4798,2,0,0,2,0,YES,0
Auraa Coordination & Productions Pvt Ltd,222,Auraa Coordination & Productions Pvt Ltd,3,3,4797,name,4797,3,0,0,3,0,YES,0
RENCOMM TELE SERVICES LLP,99,RENCOMM TELE SERVICES LLP,4,4,4796,name,4796,4,0,0,4,0,YES,0
Power Parts Pvt. Ltd,75,Power Parts Pvt. Ltd.,2,2,4789,name,4789,2,0,0,2,0,YES,0
TSCX CONSULTING PRIVATE LIMITED,49,TSCX CONSULTING PRIVATE LIMITED,1,1,4299,name,4299,1,0,0,1,0,YES,0
Bergen Associated Pvt Ltd,121,BERGEN ASSOCIATES PVT LTD.,2,2,3840,name,3840,2,0,0,2,0,YES,0
Vaatun Technologies Private Limited,274,Vaatun Technologies Private Limited,1,1,3500,name,3500,1,0,0,1,0,YES,0
VINCIT TECHNOLOGIES PVT LTD,112,VINCIT TECHNOLOGIES PVT LTD,2,2,3498,name,3498,1,1,1,1,0,YES,0
ClickOnik Digital Media Pvt Ltd,139,Clickonik Digital Private Limited,2,2,3404.32,name,3198,2,0,0,2,0,YES,0
JUVENTAS CLOTHING TECHNOLOGIES PRIVATE LIMITED,241,JUVENTAS CLOTHING TECHNOLOGIES PRIVATE LIMITED,3,3,3300,name,3300,3,0,0,3,0,YES,0
MANNA BIOTECH PRIVATE LIMITED,38,MANNA BIOTECH PRIVATE LIMITED,2,2,3217,name,3217,2,0,0,2,0,YES,0
